name,author,narrator,time,releasedate,language,stars,price
Ein Wintermärchen. Die Weihnachtsgeschichte von Charles Dickens,Writtenby:CharlesDickens,Narratedby:LutzRiedel,2 hrs and 29 mins,11-06-09,german,Not rated yet,267.00
Alice's Stories,Writtenby:TimKennemore,Narratedby:NerysHughes,3 hrs and 10 mins,24-07-08,English,Not rated yet,349.00
Sons of the 613,Writtenby:MichaelRubens,Narratedby:MichaelRubens,7 hrs and 48 mins,15-04-14,English,Not rated yet,668.00
Der Weihnachtsmann oder Das abenteuerliche Leben des Santa Claus,Writtenby:L.FrankBaum,Narratedby:EngelbertvonNordhausen,4 hrs and 36 mins,27-11-08,german,Not rated yet,367.00
Das Christkind macht Urlaub: Fällt Weihnachten dieses Jahr aus?,Writtenby:EvelyneMayer,Narratedby:AnastasiaMilor,53 mins,02-03-17,german,Not rated yet,166.00
Christmas Eve Blizzard,Writtenby:AndreaVlahakis,Narratedby:DonnaGerman,5 mins,11-11-15,English,Not rated yet,23.00
The First Christmas,Writtenby:iMinds,Narratedby:JudeBeaumont,5 mins,08-12-09,English,Not rated yet,33.00
Saturn for My Birthday,Writtenby:JohnMcGranaghan,Narratedby:DonnaGerman,4 mins,13-11-15,English,Not rated yet,23.00
Die schönsten Weihnachtslieder,Writtenby:div.,"Narratedby:HeikeMakatsch,derhundmarie",35 mins,02-11-18,german,Not rated yet,401.00
A Christmas Carol,Writtenby:CharlesDickens,Narratedby:KyleM.,3 hrs and 8 mins,11-10-18,English,Not rated yet,501.00
The Snowman,Writtenby:MichaelMorpurgo,Narratedby:RichardArmitage,1 hr and 26 mins,18-10-18,English,Not rated yet,410.00
Animal Rescue Team: Hide and Seek,Writtenby:SueStauffacher,Narratedby:HarlieVaughn,2 hrs and 45 mins,14-09-10,English,Not rated yet,502.00
The Big One-Oh,Writtenby:DeanPitchford,Narratedby:DeanPitchford,4 hrs and 37 mins,26-02-08,English,Not rated yet,703.00
"Las Aventuras de Bella & Harry, Vol. 7 [The Adventures of Bella and Harry, Vol. 7]",Writtenby:LisaManzione,Narratedby:RoxanneHernandez,43 mins,04-10-16,spanish,Not rated yet,468.00
Die Schneeschwester,Writtenby:MajaLunde,Narratedby:AxelMilberg,3 hrs and 40 mins,26-10-18,german,Not rated yet,233.00
"Schnauze, die Nikoläuse sind los. Eine Adventsgeschichte in 24 Kapiteln","Writtenby:KarenChristineAngermayer,AnnetteSwoboda","Narratedby:AndreaSawatzki,ChristianBerkel",1 hr and 19 mins,01-10-18,german,Not rated yet,233.00
"Schnauze, es ist Weihnachten. Eine Adventsgeschichte in 24 Kapiteln",Writtenby:KarenChristineAngermayer,"Narratedby:AndreaSawatzki,ChristianBerkel",1 hr and 21 mins,23-09-13,german,Not rated yet,200.00
"Schnauze, jetzt ist Stille Nacht! Eine Adventsgeschichte in 24 Kapiteln",Writtenby:KarenChristineAngermayer,"Narratedby:AndreaSawatzki,ChristianBerkel",1 hr and 20 mins,02-10-17,german,Not rated yet,233.00
Ein Glitzerstern zur Weihnachtszeit,Writtenby:InaBrandt,Narratedby:FriedelMorgenstern,1 hr and 27 mins,21-09-18,german,Not rated yet,334.00
Das Adventskalenderhörbuch,Writtenby:TeresaHochmuth,Narratedby:SigridBurkholder,1 hr and 21 mins,28-09-18,german,Not rated yet,233.00
Schöne Weihnachten! Lieblingsgeschichten für Groß und Klein,"Writtenby:MichaelEnde,OtfriedPreußler",Narratedby:RufusBeck,3 hrs and 5 mins,21-09-18,german,Not rated yet,334.00
Getting Ready,Writtenby:MarianneMitchell,Narratedby:HighlightsforChildren,1 min,10-09-18,English,Not rated yet,46.00
Invasion of the Space Monkeys,Writtenby:PeterMcCleery,Narratedby:HighlightsforChildren,3 mins,11-09-18,English,Not rated yet,46.00
Ein Löwe unterm Tannenbaum,Writtenby:IrmgardKramer,Narratedby:UveTeschner,2 hrs and 7 mins,26-09-18,german,Not rated yet,334.00
Das Geheimnis vor der Tür,Writtenby:AntjeHerden,Narratedby:JodieAhlborn,2 hrs and 46 mins,26-09-18,german,Not rated yet,334.00
When Miss Parson Forgot Halloween,Writtenby:GlennG.Coats,Narratedby:HighlightsforChildren,5 mins,04-09-18,English,Not rated yet,46.00
Fox and His Halloween Tail,Writtenby:BarbaraOwen,Narratedby:HighlightsforChildren,3 mins,04-09-18,English,Not rated yet,46.00
A Birthday Riddle,Writtenby:LanaRenetzky,Narratedby:HighlightsforChildren,4 mins,04-09-18,English,Not rated yet,46.00
No Fooling,Writtenby:KateWilson,Narratedby:HighlightsforChildren,6 mins,04-09-18,English,Not rated yet,46.00
Puppy's Scary Halloween,Writtenby:LoisJ.Szymanski,Narratedby:HighlightsforChildren,1 min,04-09-18,English,Not rated yet,46.00
24 Geschichten für die Weihnachtszeit,Writtenby:div.,"Narratedby:AnneMoll,PhilippSchepmann",2 hrs and 53 mins,24-09-12,german,Not rated yet,300.00
Die Weihnachtsreise,Writtenby:ElkeBräunling,Narratedby:MarcSchröder,1 hr and 11 mins,09-12-09,german,Not rated yet,267.00
The Snow Sister,Writtenby:EmmaCarroll,Narratedby:VictoriaFox,1 hr and 16 mins,06-07-16,English,Not rated yet,508.00
Time to Be Thankful,Writtenby:EileenSpinelli,Narratedby:HighlightsforChildren,2 mins,21-08-18,English,Not rated yet,46.00
Turkey Cookies,Writtenby:LissaRovetch,Narratedby:HighlightsforChildren,1 min,20-08-18,English,Not rated yet,46.00
Sharing Holiday Treats,Writtenby:LissaRovetch,Narratedby:HighlightsforChildren,1 min,20-08-18,English,Not rated yet,46.00
Valentine Magic,Writtenby:LissaRovetch,Narratedby:HighlightsforChildren,1 min,20-08-18,English,Not rated yet,46.00
A Valentine Surprise,Writtenby:LissaRovetch,Narratedby:HighlightsforChildren,1 min,20-08-18,English,Not rated yet,46.00
Celebrate Valentine's Day,Writtenby:LissaRovetch,Narratedby:HighlightsforChildren,1 min,20-08-18,English,Not rated yet,46.00
Indi's Surprise,Writtenby:LissaRovetch,Narratedby:HighlightsforChildren,1 min,20-08-18,English,Not rated yet,46.00
Halloween Fun,Writtenby:LissaRovetch,Narratedby:HighlightsforChildren,1 min,20-08-18,English,Not rated yet,46.00
What's in the Stuffing?,Writtenby:LissaRovetch,Narratedby:HighlightsforChildren,1 min,20-08-18,English,Not rated yet,46.00
A Mother's Day Wish,Writtenby:LissaRovetch,Narratedby:HighlightsforChildren,1 min,20-08-18,English,Not rated yet,46.00
Alligator Eyebrows for Mother's Day?,Writtenby:LissaRovetch,Narratedby:HighlightsforChildren,5 mins,17-08-18,English,Not rated yet,46.00
Meatballs Hairdos and Other New Year's Fun,Writtenby:LissaRovetch,Narratedby:HighlightsforChildren,5 mins,17-08-18,English,Not rated yet,46.00
Ready for Halloween,Writtenby:ValeriGorbachev,Narratedby:HighlightsforChildren,1 min,17-08-18,English,Not rated yet,46.00
Dear Bunny: A Bunny Love Story,Writtenby:MichaelaMorgan,Narratedby:SkipHinnant,6 mins,27-01-10,English,Not rated yet,233.00
Maccabee!,Writtenby:TildaBalsley,Narratedby:BookBuddyDigitalMedia,5 mins,06-06-17,English,Not rated yet,164.00
"Latke, the Lucky Dog",Writtenby:EllenFischer,Narratedby:BookBuddyDigitalMedia,5 mins,06-06-17,English,Not rated yet,164.00
Marcy's Real Thanksgiving Menu,Writtenby:LauraGoering,Narratedby:HighlightsforChildren,3 mins,16-08-18,English,Not rated yet,46.00
Mariana Gives Thanks,Writtenby:MarianneMitchell,Narratedby:HighlightsforChildren,1 min,16-08-18,English,Not rated yet,46.00
Snowmen at Christmas,Writtenby:CaralynBuehner,Narratedby:MelbaSibrel,4 mins,25-09-18,English,Not rated yet,251.00
Froggy's Best Christmas,Writtenby:JonathanLondon,Narratedby:MikeFerreri,7 mins,25-09-18,English,4 out of 5 stars1 rating,251.00
A Little Book of Thanks,Writtenby:HighlightsforChildren,Narratedby:HighlightsforChildren,Less than 1 minute,10-08-18,English,Not rated yet,46.00
Das Weihnachtsoratorium,Writtenby:SylviaSchreiber,Narratedby:MatthiasHaase,1 hr and 2 mins,20-08-14,german,Not rated yet,334.00
Big Pumpkin,Writtenby:EricaSilverman,Narratedby:JohnMcDonough,13 mins,11-05-12,English,Not rated yet,305.00
Erzähl mir vom Weihnachtszauber,"Writtenby:HenrietteWich,RolfKrenzer,AnneAmeling,","Narratedby:CathlenGawlich,MarieBierstedt,FriedhelmPtok,",1 hr and 13 mins,24-09-18,german,Not rated yet,300.00
Das Geheimnis der Weihnachtswichtel,Writtenby:SvenNordqvist,Narratedby:JosefTratnik,25 mins,31-01-12,german,Not rated yet,233.00
Finding the Worm (Twerp Sequel),Writtenby:MarkGoldblatt,Narratedby:EverettePlen,7 hrs and 1 min,10-02-15,English,Not rated yet,"1,005.00"
Der Klassik(ver)führer: Das Weihnachtsoratorium von Johann Sebastian Bach,Writtenby:Hans-JürgenSchatz,Narratedby:Hans-JürgenSchatz,50 mins,13-10-10,german,Not rated yet,334.00
Christmas Trees,Writtenby:RobertFrost,Narratedby:GlennHascall,2 mins,05-12-14,English,Not rated yet,239.00
Monstrous Maud: Scary Show,Writtenby:A.B.Saddlewick,Narratedby:DerynEdwards,1 hr and 34 mins,04-03-13,English,Not rated yet,258.00
Bäckerei Engel und andere Weihnachtswunder,"Writtenby:ErwinGrosche,AnneSteinwart,RosemarieFendel","Narratedby:ErwinGrosche,RosemarieFendel,MichaelThamm",47 mins,24-06-10,german,Not rated yet,334.00
Geheimnisvolle Weihnachtszeit,"Writtenby:ElkeBräunling,PaulG.Walter","Narratedby:PaulG.Walter,ElkeBräunling",42 mins,10-10-08,german,Not rated yet,166.00
Elkes Ostergeschichten,"Writtenby:ElkeBräunling,PaulG.Walter","Narratedby:ElkeBräunling,PaulG.Walter",1 hr and 2 mins,09-04-09,german,Not rated yet,166.00
"Vom Engel, der immer zu spät kam",Writtenby:AndreaSchwarz,Narratedby:NadjaSchulz-Berlinghoff,1 hr and 10 mins,07-11-13,german,Not rated yet,367.00
"Frühling, Ostern, Pfingsten",Writtenby:RolfKrenzer,Narratedby:RolfKrenzer,20 mins,16-02-11,german,Not rated yet,99.00
Dziadek do orzechów,Writtenby:E.T.A.Hoffmann,Narratedby:ElzbietaKijowska,2 hrs and 37 mins,21-04-16,polish,Not rated yet,166.00
Tilla die Weihnachtshexe,"Writtenby:BrüderGrimm,PaulG.Walter,ElkeBräunling","Narratedby:PaulG.Walter,ElkeBräunling",38 mins,04-06-09,german,Not rated yet,133.00
Das Weihnachtsgeheimnis,Writtenby:JosteinGaarder,"Narratedby:WalterKreye,FlorianLukas",6 hrs and 1 min,30-09-13,german,Not rated yet,468.00
Die Briefe vom Weihnachtsmann,Writtenby:J.R.R.Tolkien,Narratedby:ChristianHoening,1 hr and 5 mins,21-09-11,german,Not rated yet,233.00
Die Weihnachtsmäuse und das vergessene Dorf,Writtenby:AnuStohner,Narratedby:FriedhelmPtok,4 hrs and 14 mins,18-04-12,german,Not rated yet,468.00
Elfrid & Mila,Writtenby:PernillaOljelund,Narratedby:JuliaNachtmann,2 hrs and 59 mins,02-12-12,german,Not rated yet,367.00
Elfrid und Leo: Das Fußballweihnachtswunder,Writtenby:PernillaOljelund,Narratedby:JuliaNachtmann,2 hrs and 41 mins,12-10-15,german,Not rated yet,233.00
'Tis the Season,Writtenby:AnnM.Martin,Narratedby:AriadneMeyers,4 hrs and 59 mins,08-02-08,English,Not rated yet,601.00
Mariana Gives Thanks and Other Grateful Stories,"Writtenby:HighlightsforChildren,LeslieKimmelman,LauraGoering,",Narratedby:HighlightsforChildren,7 mins,17-07-18,English,Not rated yet,93.00
Warum feiern wir Weihnachten?,Writtenby:VolkerUfertinger,Narratedby:AchimHöppner,1 hr and 13 mins,29-06-07,german,Not rated yet,367.00
Ein Weihnachtsmärchen,Writtenby:CharlesDickens,Narratedby:JoachimKról,2 hrs and 35 mins,27-05-09,german,Not rated yet,367.00
13 Weihnachtstrolle machen Ärger,Writtenby:SabineStäding,Narratedby:MartinBaltscheit,2 hrs and 25 mins,09-09-16,german,Not rated yet,300.00
Le sapin de Noël,Writtenby:CécileLeRay,Narratedby:CécileLeRay,6 mins,10-07-18,french,Not rated yet,112.00
Die große Osterei-Versteckerei und andere Geschichten,"Writtenby:HeinzBrand,KatjaRichert,SusanneLütje,","Narratedby:IlkaTeichmüller,SantiagoZiesmer,SabineBohlmann,",22 mins,23-01-17,german,Not rated yet,132.00
Das Geheimnis der Weihnachtswichtel,Writtenby:SvenNordqvist,Narratedby:JosefTratnik,25 mins,06-10-16,german,Not rated yet,132.00
Wenn die Tiere Weihnachten feiern und andere Geschichten,"Writtenby:Anne-KristinzurBrügge,SusanneLütje,Hans-ChristianSchmid,","Narratedby:MontyArnold,MarieBierstedt,UlrichGebauer,",23 mins,22-09-15,german,Not rated yet,132.00
Veillées de Noël au coin du feu,Writtenby:diversauteurs,Narratedby:ConteusesdelaMaisondesContesetdesHistoires,53 mins,25-04-13,french,Not rated yet,643.00
24 histoires d'AVENT Noël,Writtenby:ErikBjork,"Narratedby:ErikBjork,AnouckMontreuil",5 hrs and 2 mins,25-11-15,french,Not rated yet,490.00
Le Bouton Rouge,Writtenby:AmandineKorrigan,Narratedby:AmandineKorrigan,1 hr,13-12-12,french,Not rated yet,757.00
Contes de Noël,Writtenby:ValérieBonenfant,Narratedby:FabienneProst,48 mins,04-11-10,french,Not rated yet,376.00
La petite fille aux allumettes,Writtenby:HansChristianAndersen,Narratedby:MarinaOrsini,13 mins,18-08-05,french,Not rated yet,350.00
Weihnachtswirbel im Zauberwald,"Writtenby:AndreaSchütze,TinaKraus",Narratedby:CathlenGawlich,1 hr and 8 mins,17-09-15,german,Not rated yet,233.00
Das Geheimnis der Weihnachtswichtel,Writtenby:SvenNordqvist,Narratedby:StefanWilkening,46 mins,25-09-17,german,Not rated yet,367.00
Der Weihnachtspapagei,Writtenby:JamesKrüss,Narratedby:WalterKreye,1 hr and 18 mins,29-09-17,german,Not rated yet,233.00
Adventsgeschichten,Writtenby:div.,"Narratedby:RobertMissler,JohannesSteck,UlrichPleitgen",23 mins,08-04-14,german,Not rated yet,133.00
Alles verschenkt! und weitere Geschichten vom kleinen Raben Socke,"Writtenby:NeleMoost,AnnetRudolph","Narratedby:OliverRohrbeck,div.",45 mins,29-09-16,german,Not rated yet,233.00
Der Adventskalender zum Hören für Kinder,Writtenby:div.,Narratedby:JürgenFritsche,4 hrs and 11 mins,21-11-13,german,Not rated yet,166.00
Der literarische Adventskalender,Writtenby:div.,Narratedby:JürgenFritsche,3 hrs and 20 mins,21-11-13,german,Not rated yet,166.00
Les apparitions de Noël,Writtenby:CharlesDickens,Narratedby:MatthieuFarcy,2 hrs and 47 mins,21-06-18,french,Not rated yet,376.00
Invasion of the Christmas Puddings!,Writtenby:JeremyStrong,Narratedby:RussellBoulter,1 hr and 50 mins,20-05-08,English,Not rated yet,258.00
"Sterne, Schnee und Weihnachtsduft. Meine schönsten Weihnachtsgeschichten","Writtenby:JosephvonEichendorff,HansChristianAndersen,TheodorStorm","Narratedby:ChristianRode,UtaHallant,DieterLanduris",1 hr and 15 mins,12-11-07,german,Not rated yet,267.00
Pixi rettet Weihnachten,Writtenby:div.,"Narratedby:RobertMissler,UlrikeGrote,AndreasFröhlich,",19 mins,08-04-14,german,Not rated yet,133.00
"Best Christmas Ever: Go Girl!, Book 9",Writtenby:RowanMcAuley,Narratedby:RubyRees-Wemyss,44 mins,27-02-13,English,Not rated yet,163.00
Pinky and Rex Get Married,Writtenby:JamesHowe,Narratedby:ChristinaMoore,13 mins,21-05-13,English,Not rated yet,63.00
Jacob Two-Two and the Dinosaur,Writtenby:MordecaiRichler,Narratedby:RickMiller,1 hr and 16 mins,23-06-15,English,Not rated yet,233.00
The Case of the Halloween Ghost,Writtenby:JohnR.Erickson,Narratedby:JohnR.Erickson,2 hrs and 2 mins,29-05-08,English,Not rated yet,469.00
Nickel Bay Nick,Writtenby:DeanPitchford,Narratedby:DeanPitchford,6 hrs and 59 mins,17-10-13,English,Not rated yet,668.00
Liquirizia in Lapponia,Writtenby:SusanneFinken,"Narratedby:LellaCosta,GiulioBartolomei,ChiaraFabiano,",2 hrs and 10 mins,18-12-17,italian,Not rated yet,190.00
Der kleine Nick freut sich auf Weihnachten,Writtenby:RenéGoscinny,Narratedby:RufusBeck,59 mins,13-11-07,german,Not rated yet,367.00
Hay mañanas [There Are Mornings],Writtenby:DanielNesquens,Narratedby:GriseldaHernández,11 mins,03-05-16,spanish,Not rated yet,153.00
El fabricante de sueños [The Manufacturer of Dreams],Writtenby:TorcuatoLucaDeTena,Narratedby:BeaRebollo,1 hr and 24 mins,03-05-16,spanish,Not rated yet,153.00
The Battle for Christmas,Writtenby:JeremyStrong,Narratedby:PaulChequer,2 hrs and 10 mins,02-11-09,English,Not rated yet,349.00
"Happy Birthday, Mallory!",Writtenby:LaurieFriedman,Narratedby:BookBuddyDigitalMedia,1 hr and 35 mins,01-01-17,English,Not rated yet,469.00
Luke and Lulu: Aussie Bites,Writtenby:BruceDawe,Narratedby:StigWemyss,35 mins,20-12-12,English,Not rated yet,163.00
There Was an Old Lady Who Swallowed a Bat,Writtenby:LucilleColandro,Narratedby:SkipHinnant,4 mins,01-09-09,English,Not rated yet,233.00
Pea's Book of Birthdays,Writtenby:SusieDay,Narratedby:ClaireMorgan,4 hrs and 45 mins,11-10-13,English,Not rated yet,395.00
Celebrate,Writtenby:OasisAudio,"Narratedby:KaileyBell,ToddBusteed",33 mins,16-02-09,English,Not rated yet,234.00
Ein Junge namens Weihnacht,Writtenby:MattHaig,Narratedby:RufusBeck,4 hrs and 38 mins,18-10-16,german,Not rated yet,468.00
Contes de Noël,"Writtenby:FrancineAllard,ClaudieStanké,IsabelleCyr","Narratedby:FrancineAllard,ClaudieStanké,IsabelleCyr",46 mins,21-03-05,french,Not rated yet,469.00
Süßer die Hufe nie klingen,Writtenby:SuzaKolb,Narratedby:BürgerLarsDietrich,2 hrs and 7 mins,08-09-17,german,Not rated yet,300.00
Oggie Cooder,Writtenby:SarahWeeks,Narratedby:WilliamDufris,2 hrs and 10 mins,01-10-09,English,Not rated yet,422.00
El Caso De Papá Noel [The Case of Santa Claus],Writtenby:JoachimFriedrich,Narratedby:SilviaGomez,3 hrs and 57 mins,03-05-18,spanish,Not rated yet,537.00
The Dolls’ Christmas,Writtenby:TashaTudor,Narratedby:DavinaPorter,10 mins,23-05-12,English,Not rated yet,305.00
Die Rückkehr des Weihnachtsmannes,Writtenby:IrisDonell,Narratedby:FriedrichSchönfelder,2 hrs and 55 mins,15-05-18,german,Not rated yet,233.00
Christmas at Grandma's,Writtenby:DonaldDavis,Narratedby:DonaldDavis,43 mins,20-10-00,English,Not rated yet,300.00
Histoire d'un casse-noisette,"Writtenby:JeanDesternes,PiotrTchaikovsky",Narratedby:RolandMenard,33 mins,21-03-11,french,Not rated yet,376.00
Quella stratopica vacanza alla pensione Mirasorci...,Writtenby:GeronimoStilton,Narratedby:GeronimoStilton,19 mins,25-04-18,italian,Not rated yet,267.00
Max und Anna verzaubern das Osterhuhn,Writtenby:MoniqueSchlömer,"Narratedby:AmelieWintzen,BerndPeter,BertStevens",40 mins,19-03-08,german,Not rated yet,233.00
Jagd nach dem goldenen Ei. Das Original-Hörbuch zum Film,Writtenby:HortenseUllrich,Narratedby:SentaBerger,1 hr and 27 mins,03-02-17,german,Not rated yet,233.00
Christmas in the Adirondacks,Writtenby:WilliamH.H.Murray,Narratedby:JohnMcDonough,3 hrs and 30 mins,25-08-11,English,Not rated yet,469.00
Es ist ein Elch entsprungen,Writtenby:AndreasSteinhöfel,Narratedby:Gustav-PeterWöhler,1 hr and 8 mins,27-10-11,german,Not rated yet,233.00
Hershel and the Hanukkah Goblins,Writtenby:EricKimmel,Narratedby:GildartJackson,44 mins,07-10-15,English,Not rated yet,"1,172.00"
Gute Nacht Geschichten: Siebtens - Weihnachtserzählungen für Kinder,Writtenby:MichaelFlechsig,Narratedby:MichaelFlechsig,1 hr and 13 mins,21-11-14,german,Not rated yet,132.00
Drei Weihnachtsmärchen,Writtenby:TorstenTotal,Narratedby:TorstenTotal,40 mins,19-05-10,german,Not rated yet,200.00
Die kleine Dame feiert Weihnachten,Writtenby:StefanieTaschinski,Narratedby:KatharinaThalbach,1 hr and 11 mins,25-02-14,german,Not rated yet,233.00
Weihnachtsgeschichten vom Franz,Writtenby:ChristineNöstlinger,Narratedby:ChristineNöstlinger,38 mins,25-01-12,german,Not rated yet,233.00
Pumuckl und die Ostereier / Der erste April,Writtenby:EllisKaut,Narratedby:StefanKaminski,1 hr and 12 mins,09-04-09,german,Not rated yet,233.00
Mia feiert Weihnachten,Writtenby:IsabellaMohn,Narratedby:FriedelMorgenstern,1 hr and 20 mins,19-08-14,german,Not rated yet,233.00
A Christmas Carol,Writtenby:CharlesDickens,Narratedby:CorneliaSchönwald,3 hrs and 36 mins,17-04-18,german,Not rated yet,200.00
Hooray for Grandparents Day!,Writtenby:NancyCarlson,Narratedby:CherylStern,5 mins,22-05-18,English,Not rated yet,251.00
Geburtstagsgeschichten,Writtenby:div.,"Narratedby:WanjaMues,AndreaSawatzki,HeikkoDeutschmann,",23 mins,22-08-14,german,Not rated yet,133.00
"Schnauze, das Christkind ist da. Eine Adventsgeschichte in 24 Kapiteln",Writtenby:KarenChristineAngermayer,"Narratedby:AnetteSwoboda,ChristianBerkel,AndreaSawatzki",1 hr and 18 mins,05-10-16,german,Not rated yet,233.00
On Christmas Eve,Writtenby:AnnM.Martin,Narratedby:AlisonFraser,2 hrs and 13 mins,20-09-06,English,Not rated yet,553.00
Die kleine Hummel Bommel und die Liebe / Die kleine Hummel Bommel feiert Weihnachten,"Writtenby:BrittaSabbag,MaiteKelly","Narratedby:BrittaSabbag,MaiteKelly",32 mins,09-10-17,german,Not rated yet,300.00
New Year's Eve Thieves,Writtenby:RonaldRoy,Narratedby:JimMeskimen,49 mins,25-07-16,English,Not rated yet,402.00
Antoinette la poule savante / Antoinette the Wise Hen,Writtenby:IsabelleAboulker,"Narratedby:MarieBlanc,PhilippeScagni",44 mins,07-04-18,french,Not rated yet,528.00
Alles Liebe zum Geburtstag! und andere Geschichten,"Writtenby:SusanneLütje,AnkeKnefel,AlexanderSteffensmeier,","Narratedby:MontyArnold,UrsulaIllert,PeterKaempfe,",20 mins,24-07-17,german,Not rated yet,132.00
Horrible Harry at Halloween,Writtenby:SuzyKline,Narratedby:JohnnyHeller,30 mins,22-01-13,English,Not rated yet,305.00
Die schönsten Weihnachtsmärchen der Gebrüder Grimm,Writtenby:BrüderGrimm,Narratedby:Ernst-AugustSchepmann,2 hrs and 2 mins,03-12-14,german,Not rated yet,133.00
Meine Engel,Writtenby:JulianHübscher,Narratedby:JulianHübscher,1 hr and 4 mins,02-12-13,german,Not rated yet,132.00
Weihnachtsgeschichten,"Writtenby:ElisabethHerrnleben,WolfgangHerrnleben","Narratedby:ElisabethHerrnleben,WolfgangHerrnleben",58 mins,01-05-14,german,Not rated yet,334.00
Weihnachtszauber: Geschichten und Lieder,Writtenby:div.,"Narratedby:StephenJanetzko,UlrichMakowski",22 mins,18-12-14,german,Not rated yet,166.00
"Adventsgeschichten von Häschen ""H"" und Klosterkatze Klara",Writtenby:MartinaWentzkat,Narratedby:UlrikeWentzkat,2 hrs and 49 mins,06-11-14,german,Not rated yet,267.00
Die Sache mit dem Osterhasen,Writtenby:UrselScheffler,Narratedby:LudgerEdelkötter,24 mins,26-04-14,german,Not rated yet,200.00
Gute Nacht Geschichten,Writtenby:MichaelFlechsig,Narratedby:MichaelFlechsig,1 hr and 19 mins,28-11-14,german,Not rated yet,99.00
Weihnachten im Schneeland,Writtenby:PetraHartmann,Narratedby:KarenSünder,57 mins,16-12-13,german,Not rated yet,200.00
Monstrous Maud: Big Fright,Writtenby:A.B.Saddlewick,Narratedby:DerynEdwards,1 hr and 47 mins,04-03-13,English,Not rated yet,258.00
Pumuckl und der erste Schnee / Das Weihnachtsgeschenk,Writtenby:EllisKaut,Narratedby:StefanKaminski,1 hr and 13 mins,23-12-08,german,Not rated yet,233.00
The Time Fetch,Writtenby:AmyHerrick,Narratedby:LuciChristian,7 hrs and 38 mins,27-08-13,English,Not rated yet,702.00
Lustige Geschichten vom Osterhasen,Writtenby:BettinaBarth,Narratedby:BettinaBarth,11 mins,24-05-17,german,Not rated yet,99.00
Das Sams feiert Weihnachten,Writtenby:PaulMaar,Narratedby:AndreasFröhlich,2 hrs and 52 mins,25-09-17,german,Not rated yet,367.00
Flora und das Weihnachtswunder,Writtenby:InaBrandt,Narratedby:FriedelMorgenstern,1 hr and 25 mins,23-03-18,german,Not rated yet,166.00
Sir Charlie Stinky Socks and the Really Big Adventure,Writtenby:KristinaStephenson,Narratedby:MichaelMaloney,48 mins,19-05-10,English,Not rated yet,190.00
Ostergeschichten,Writtenby:div.,"Narratedby:JensWawrczeck,JohannesSteck,UlrikeGrote,",23 mins,08-04-14,german,Not rated yet,133.00
March Mischief,Writtenby:RonRoy,Narratedby:JimMeskimen,50 mins,22-03-11,English,Not rated yet,402.00
Kasimir backt,Writtenby:LarsKlinting,Narratedby:SantiagoZiesmer,23 mins,25-07-12,german,Not rated yet,132.00
Party People,Writtenby:DonaldDavis,Narratedby:AugustHouse,29 mins,01-10-08,English,Not rated yet,397.00
Rufus hilft den Weihnachtsmännern,Writtenby:UrselScheffler,Narratedby:WolfgangRüter,1 hr and 47 mins,31-01-12,german,Not rated yet,334.00
Skandinavische Weihnachten,"Writtenby:SvenNordqvist,HansChristianAndersen","Narratedby:SelmaLagerlöf,JensWawrczeck,JosefTratnik,",3 hrs and 39 mins,07-10-16,german,Not rated yet,468.00
Wie Findus zu Pettersson kam / Eine Geburtstagstorte für die Katze,Writtenby:SvenNordqvist,Narratedby:UlrichNoethen,41 mins,20-01-14,german,Not rated yet,233.00
Henry and Mudge and the Funny Lunch,Writtenby:CynthiaRylant,Narratedby:GeorgeGuidall,4 mins,23-10-08,English,Not rated yet,369.00
Findus zieht um / Pettersson kriegt Weihnachtsbesuch,Writtenby:SvenNordqvist,Narratedby:UlrichNoethen,39 mins,20-08-14,german,Not rated yet,233.00
The Witch Family,Writtenby:EleanorEstes,Narratedby:JaneJacobs,4 hrs and 42 mins,30-05-07,English,Not rated yet,668.00
Toot & Puddle: You Are My Sunshine,Writtenby:HollyHobbie,Narratedby:NickSullivan,6 mins,10-07-12,English,Not rated yet,500.00
A Christmas Carol [Alpha DVD Version],Writtenby:CharlesDickens,Narratedby:PaulAlbertson,3 hrs and 45 mins,11-07-08,English,Not rated yet,501.00
November Night,Writtenby:RonaldRoy,Narratedby:JimMeskimen,51 mins,23-09-14,English,Not rated yet,402.00
July Jitters,Writtenby:RonRoy,Narratedby:JimMeskimen,48 mins,23-09-14,English,Not rated yet,402.00
October Ogre,Writtenby:RonRoy,Narratedby:JimMeskimen,46 mins,23-09-14,English,Not rated yet,402.00
St. Patrick's Day,Writtenby:GailGibbons,Narratedby:QarieMarshall,8 mins,15-01-16,English,Not rated yet,234.00
The Dinosaur That Pooped Christmas,"Writtenby:DougiePoynter,TomFletcher","Narratedby:TomFletcher,DougiePoynter",9 mins,27-11-14,English,Not rated yet,205.00
Mrs. Yonkers Is Bonkers!,Writtenby:DanGutman,Narratedby:JaredGoldsmith,54 mins,16-12-14,English,Not rated yet,305.00
Snowmen at Night,Writtenby:CaralynBuehner,Narratedby:MelbaSibrel,3 mins,21-02-18,English,Not rated yet,251.00
Haunted Castle on Hallows Eve,Writtenby:MaryPopeOsborne,Narratedby:MaryPopeOsborne,1 hr and 15 mins,21-04-05,English,Not rated yet,402.00
What Light,Writtenby:JayAsher,Narratedby:MandySiegfried,6 hrs and 45 mins,18-10-16,English,Not rated yet,"1,005.00"
