,Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
276,276,26,female,2,own,little,,2404,18,radio/TV,good
439,439,26,female,0,own,little,rich,609,12,business,bad
910,910,34,female,2,own,little,,4454,36,radio/TV,good
284,284,37,male,2,own,moderate,moderate,3878,24,car,good
864,864,25,male,1,rent,little,,2210,10,furniture/equipment,bad
470,470,22,male,2,rent,moderate,moderate,3092,24,radio/TV,bad
295,295,26,female,2,own,little,moderate,9960,48,furniture/equipment,bad
911,911,25,female,1,own,little,moderate,4736,24,furniture/equipment,bad
453,453,35,male,3,own,little,,2670,24,car,good
441,441,30,female,2,own,little,little,1620,12,furniture/equipment,good
895,895,31,male,3,own,,,8947,36,car,good
647,647,26,female,2,own,quite rich,,1386,12,car,bad
643,643,33,male,2,own,little,,1851,24,radio/TV,good
286,286,26,male,2,own,little,little,4788,48,car,good
967,967,54,female,3,rent,little,,3568,15,radio/TV,good
445,445,41,female,1,rent,,,1244,9,education,good
807,807,65,male,2,own,,,930,12,radio/TV,good
12,12,22,female,2,own,little,moderate,1567,12,radio/TV,good
689,689,31,male,2,own,rich,little,3651,12,car,good
116,116,30,female,3,own,,little,7174,42,radio/TV,bad
843,843,50,male,2,own,little,,1559,24,business,good
704,704,32,female,2,own,little,moderate,2528,27,business,good
820,820,27,male,2,own,little,,1101,12,car,good
677,677,24,male,2,own,moderate,moderate,5595,72,radio/TV,bad
396,396,55,female,3,free,little,little,2578,12,furniture/equipment,good
308,308,24,female,2,own,little,moderate,1237,8,furniture/equipment,bad
265,265,37,male,2,own,little,moderate,802,15,radio/TV,bad
63,63,25,male,2,own,little,moderate,14421,48,business,bad
904,904,36,male,3,own,little,,1278,24,radio/TV,good
729,729,36,male,2,own,rich,rich,1275,24,business,good
913,913,28,male,2,own,rich,,2142,11,business,good
361,361,37,male,3,own,,rich,3399,12,radio/TV,good
662,662,50,male,2,own,little,,2241,21,furniture/equipment,good
274,274,34,male,1,own,little,little,11998,30,repairs,bad
110,110,31,male,2,own,moderate,moderate,1449,6,business,good
338,338,28,male,2,own,little,little,4169,24,furniture/equipment,good
314,314,29,male,1,own,,rich,1494,4,car,good
405,405,22,male,2,own,little,moderate,2039,24,radio/TV,bad
84,84,52,male,1,own,little,little,2315,10,radio/TV,good
168,168,25,female,2,rent,little,,3972,24,furniture/equipment,good
106,106,39,male,3,own,little,,6458,18,car,bad
415,415,35,male,2,own,little,,5842,36,car,good
156,156,48,male,2,own,moderate,little,1288,9,repairs,good
435,435,25,male,2,own,,moderate,1484,12,radio/TV,bad
944,944,46,female,2,rent,little,little,1845,15,furniture/equipment,good
559,559,31,male,1,own,little,moderate,1928,18,furniture/equipment,bad
698,698,24,male,2,own,little,,1800,18,radio/TV,good
981,981,33,male,3,rent,little,,4844,48,business,bad
417,417,23,female,2,rent,,little,8471,18,education,good
401,401,28,male,2,own,,moderate,1887,18,business,good
828,828,47,male,2,free,,little,8335,36,car,bad
315,315,31,male,2,own,little,little,2746,36,furniture/equipment,bad
96,96,61,female,2,own,,,2012,12,education,good
656,656,41,male,1,own,little,moderate,888,12,car,bad
331,331,30,female,2,own,moderate,,1864,18,education,bad
206,206,43,male,2,own,little,,1935,12,furniture/equipment,good
711,711,35,female,2,free,little,little,1198,6,education,bad
538,538,42,male,3,free,little,little,7763,48,car,bad
373,373,63,male,3,free,,,13756,60,car,good
443,443,41,male,1,own,little,,719,12,education,bad
66,66,29,female,2,own,little,,2171,12,radio/TV,good
40,40,30,male,3,own,quite rich,,2333,30,radio/TV,good
854,854,45,male,2,own,little,,10875,36,car,good
146,146,39,female,2,own,little,little,860,6,car,good
852,852,35,male,2,free,little,,1471,15,radio/TV,good
570,570,23,female,1,rent,little,little,3234,24,furniture/equipment,bad
367,367,22,female,2,rent,little,little,3650,18,furniture/equipment,good
539,539,45,female,1,own,little,rich,3049,18,furniture/equipment,good
667,667,27,female,2,own,little,,3609,48,business,good
330,330,75,male,3,free,little,little,6615,24,car,good
670,670,27,male,1,own,moderate,,4139,24,business,good
52,52,25,male,2,own,little,,1262,12,radio/TV,good
841,841,28,male,1,own,little,,2993,21,car,good
311,311,25,male,2,own,moderate,,5511,24,furniture/equipment,good
845,845,35,male,2,own,,moderate,3976,21,furniture/equipment,good
463,463,38,male,2,own,,moderate,754,12,education,good
273,273,28,male,2,own,little,moderate,3060,48,radio/TV,bad
800,800,54,male,2,free,little,,1597,24,education,good
454,454,31,male,2,own,little,little,4817,24,car,bad
412,412,42,male,3,own,little,,2292,12,business,bad
769,769,63,male,1,own,little,,1655,12,radio/TV,good
826,826,33,female,2,rent,little,little,3966,18,car,bad
15,15,32,female,1,own,moderate,little,1282,24,radio/TV,bad
476,476,24,male,2,own,quite rich,,2569,39,car,good
500,500,27,female,2,own,little,little,3123,24,car,bad
720,720,34,male,3,own,little,rich,1337,9,radio/TV,bad
609,609,45,male,2,free,,,1300,15,car,good
510,510,26,male,2,own,little,little,759,12,car,bad
375,375,37,female,2,rent,little,little,7685,48,business,bad
749,749,33,male,2,own,little,,3029,15,car,good
973,973,36,male,2,rent,little,little,7297,60,business,bad
432,432,36,male,3,free,little,little,1872,6,furniture/equipment,good
954,954,29,female,2,own,little,little,1893,12,car,good
425,425,21,male,2,rent,little,moderate,2779,18,car,good
873,873,24,female,2,own,,,874,15,domestic appliances,good
608,608,33,male,2,own,little,,2051,18,radio/TV,good
772,772,36,male,3,own,little,,3275,21,car,good
472,472,28,male,1,own,little,little,654,9,car,bad
823,823,47,male,1,own,little,little,731,8,car,good
382,382,25,female,2,rent,,,1283,22,car,good
490,490,26,male,2,own,little,,1934,12,radio/TV,good
531,531,28,female,2,rent,moderate,moderate,2631,15,car,bad
896,896,28,female,3,rent,little,little,2606,21,radio/TV,good
893,893,34,male,2,own,little,moderate,5800,36,car,good
42,42,44,male,1,own,little,moderate,6204,18,repairs,good
555,555,22,male,2,own,little,moderate,1331,12,radio/TV,bad
294,294,46,male,3,own,,,7629,48,business,good
903,903,40,male,2,rent,,,1386,15,radio/TV,good
363,363,21,male,2,rent,little,,1766,6,furniture/equipment,good
691,691,25,female,1,own,moderate,moderate,2631,15,repairs,good
661,661,23,male,2,own,,little,900,12,car,bad
1,1,22,female,2,own,little,moderate,5951,48,radio/TV,bad
8,8,61,male,1,own,rich,,3059,12,radio/TV,good
970,970,22,male,2,own,moderate,moderate,1514,15,repairs,good
516,516,40,male,1,own,little,little,1361,6,car,good
64,64,26,female,2,own,little,,3181,24,radio/TV,good
488,488,35,male,1,rent,moderate,,1418,10,car,good
921,921,37,male,3,own,quite rich,,12749,48,radio/TV,good
898,898,33,female,1,rent,,,2186,15,furniture/equipment,good
557,557,29,female,2,own,,,5003,21,car,bad
607,607,50,female,2,free,moderate,moderate,2671,36,radio/TV,bad
255,255,27,male,1,own,,moderate,7418,60,radio/TV,good
567,567,34,male,2,own,rich,,2578,24,radio/TV,good
755,755,32,female,2,rent,,little,1285,24,car,bad
166,166,33,female,2,own,little,little,1131,18,furniture/equipment,bad
585,585,20,female,2,rent,little,little,2039,18,furniture/equipment,bad
411,411,35,male,3,own,little,,7253,33,car,good
275,275,32,male,2,own,little,,2697,9,radio/TV,good
147,147,51,female,2,own,moderate,,682,12,car,good
837,837,23,female,1,rent,little,,601,4,furniture/equipment,good
863,863,32,male,1,own,rich,,4526,27,furniture/equipment,good
114,114,35,male,2,own,quite rich,little,1680,12,radio/TV,good
479,479,44,male,2,own,little,little,1478,15,furniture/equipment,good
424,424,25,female,2,own,,moderate,2762,12,furniture/equipment,bad
678,678,64,male,1,rent,little,little,2384,24,radio/TV,good
994,994,50,male,2,own,,,2390,12,car,good
88,88,30,male,3,own,moderate,little,2249,18,car,good
848,848,59,male,2,own,little,little,1364,9,radio/TV,good
287,287,31,male,3,free,moderate,moderate,7582,48,vacation/others,good
831,831,23,female,2,rent,little,little,1216,18,car,bad
431,431,29,male,3,own,little,moderate,11328,24,vacation/others,bad
193,193,29,male,2,rent,little,,2108,6,radio/TV,good
999,999,27,male,2,own,moderate,moderate,4576,45,car,good
790,790,39,female,2,own,little,moderate,1188,21,business,bad
199,199,40,male,3,own,little,moderate,4297,18,furniture/equipment,bad
562,562,29,female,2,own,little,rich,683,6,radio/TV,good
748,748,26,male,2,own,,,5248,21,car,good
666,666,34,male,2,own,rich,moderate,3496,30,furniture/equipment,good
155,155,20,female,2,rent,little,little,1282,12,furniture/equipment,bad
865,865,20,female,2,rent,quite rich,,2221,15,furniture/equipment,good
946,946,30,male,2,free,quite rich,little,3349,24,furniture/equipment,bad
103,103,35,male,2,rent,little,moderate,1919,9,furniture/equipment,good
783,783,23,female,1,own,moderate,moderate,836,12,car,bad
741,741,23,male,1,own,little,moderate,1048,10,radio/TV,good
937,937,30,male,3,rent,little,moderate,2063,6,radio/TV,good
241,241,51,male,2,own,little,,1595,6,radio/TV,good
611,611,48,female,1,free,moderate,rich,1240,10,car,bad
421,421,30,male,2,own,,moderate,2028,12,car,good
459,459,32,male,2,own,little,,4594,18,radio/TV,good
649,649,40,male,1,rent,little,little,684,12,education,bad
972,972,29,female,0,rent,little,little,1193,24,car,bad
229,229,22,male,2,free,little,little,3149,24,furniture/equipment,good
920,920,28,female,2,own,little,,1817,18,furniture/equipment,good
7,7,35,male,3,rent,little,moderate,6948,36,car,good
290,290,26,male,2,own,little,,1076,12,business,good
44,44,58,female,1,free,little,little,6143,48,car,bad
400,400,39,male,2,own,little,,1473,18,radio/TV,good
943,943,42,male,1,own,little,,1455,4,car,good
73,73,41,female,1,own,little,moderate,5954,42,business,good
603,603,28,female,3,own,little,,3349,36,furniture/equipment,bad
123,123,63,male,2,free,little,rich,781,10,car,good
108,108,30,female,2,own,,little,7721,24,furniture/equipment,good
747,747,37,female,1,own,little,little,1274,12,car,bad
456,456,36,male,2,rent,little,little,3905,11,car,good
623,623,22,female,2,rent,little,little,1858,12,furniture/equipment,good
225,225,27,male,2,own,little,,2613,36,repairs,good
874,874,29,male,1,own,little,little,3590,12,furniture/equipment,good
560,560,49,male,2,free,,little,2964,24,car,good
